city,district,lat,lng,category,season,hotel_budget,hotel_mid,hotel_luxury,food_budget,food_mid,food_luxury,local_transport_urban,local_transport_rural,flight_base_rate,bus_available,bus_km_rate,train_available,train_km_rate,flight_available
Madurai,Madurai,9.92,78.11,Tier-Y,peak,2107,5006,11024,479,1314,2311,443,0,3563,1,1.08,1,0.72,1
Madurai,Madurai,9.92,78.11,Tier-Y,shoulder,2220,5122,8234,395,1104,2840,333,0,3635,1,1.11,1,0.72,1
Madurai,Madurai,9.92,78.11,Tier-Y,offpeak,1313,1676,6444,241,650,1747,252,0,3381,1,1.2,1,0.73,1
Hosur,Krishnagiri,12.73,77.82,Tier-Y,peak,1348,3528,11099,348,1117,1652,399,0,2632,1,0.95,1,0.73,1
Hosur,Krishnagiri,12.73,77.82,Tier-Y,shoulder,1183,5500,11367,231,745,2645,286,0,2940,1,1.12,1,0.72,1
Hosur,Krishnagiri,12.73,77.82,Tier-Y,offpeak,867,2633,8734,314,1010,1848,412,0,2683,1,0.99,1,0.73,1
Tiruppur,Tiruppur,11.1,77.34,Tier-Y,peak,1339,5084,12358,226,1028,1891,518,0,4041,1,1.22,1,0.72,1
Tiruppur,Tiruppur,11.1,77.34,Tier-Y,shoulder,1073,4445,9989,374,1082,2342,533,0,3284,1,1.0,1,0.71,1
Tiruppur,Tiruppur,11.1,77.34,Tier-Y,offpeak,840,2562,6219,391,1098,2316,338,0,2775,1,0.99,1,0.71,1
Salem,Salem,11.66,78.16,Tier-Y,peak,1944,4991,8704,298,1369,2681,562,0,3897,1,1.11,1,0.71,1
Salem,Salem,11.66,78.16,Tier-Y,shoulder,2263,3528,9252,227,701,2651,311,0,3908,1,0.93,1,0.72,1
Salem,Salem,11.66,78.16,Tier-Y,offpeak,1825,2632,6454,326,986,1515,384,0,2971,1,1.03,1,0.72,1
Thoothukudi,Thoothukudi,8.76,78.13,Tier-Y,peak,2056,5899,8350,395,1374,2256,310,0,0,1,1.06,1,0.72,0
Thoothukudi,Thoothukudi,8.76,78.13,Tier-Y,shoulder,1417,5177,7158,250,623,2159,376,0,0,1,0.88,1,0.71,0
Thoothukudi,Thoothukudi,8.76,78.13,Tier-Y,offpeak,1256,3792,8050,219,510,2026,470,0,0,1,1.06,1,0.73,0
Manali,Kullu,32.24,77.19,Tier-Z,peak,1756,6652,14708,468,1233,2338,353,0,4232,1,1.15,1,0.72,1
Manali,Kullu,32.24,77.19,Tier-Z,shoulder,1430,3734,8201,294,1194,2154,398,0,2466,1,1.15,1,0.72,1
Manali,Kullu,32.24,77.19,Tier-Z,offpeak,786,2005,2336,222,692,1579,373,0,2330,1,0.85,1,0.72,1
Munnar,Idukki,10.09,77.06,Tier-Z,peak,2504,4567,10401,389,1101,2467,417,0,0,1,0.98,0,0.71,0
Munnar,Idukki,10.09,77.06,Tier-Z,shoulder,2268,5784,6817,214,912,2206,307,0,0,1,1.08,0,0.72,0
Munnar,Idukki,10.09,77.06,Tier-Z,offpeak,1055,1721,3898,198,614,1476,318,0,0,1,1.08,0,0.71,0
Puri,Puri,19.82,85.83,Tier-Z,peak,1122,3568,7828,365,728,2236,266,0,0,1,1.05,1,0.72,0
Puri,Puri,19.82,85.83,Tier-Z,shoulder,1914,3488,6997,344,1028,1767,255,0,0,1,0.95,1,0.72,0
Puri,Puri,19.82,85.83,Tier-Z,offpeak,983,2804,6576,314,720,1321,303,0,0,1,1.18,1,0.73,0
Shirdi,Ahmednagar,19.77,74.48,Tier-Z,peak,1364,5118,8498,363,903,1912,254,0,0,1,0.86,1,0.73,0
Shirdi,Ahmednagar,19.77,74.48,Tier-Z,shoulder,1244,3830,9401,357,636,1834,291,0,0,1,0.98,1,0.72,0
Shirdi,Ahmednagar,19.77,74.48,Tier-Z,offpeak,871,2055,4478,136,785,1484,266,0,0,1,0.87,1,0.73,0
Haridwar,Haridwar,29.95,78.16,Tier-Z,peak,1958,2840,6531,199,1102,2090,327,0,0,1,1.01,1,0.73,0
Haridwar,Haridwar,29.95,78.16,Tier-Z,shoulder,1765,4408,11708,319,1014,1750,299,0,0,1,1.08,1,0.72,0
Haridwar,Haridwar,29.95,78.16,Tier-Z,offpeak,670,2221,4525,181,637,997,273,0,0,1,1.23,1,0.71,0
Darjeeling,Darjeeling,27.04,88.26,Tier-Z,peak,1692,3369,14431,427,827,2312,287,0,0,1,0.93,0,0.72,0
Darjeeling,Darjeeling,27.04,88.26,Tier-Z,shoulder,1330,5424,7891,202,669,1985,298,0,0,1,0.92,0,0.72,0
Darjeeling,Darjeeling,27.04,88.26,Tier-Z,offpeak,864,3291,3545,241,809,1145,304,0,0,1,0.89,0,0.72,0
Leh,Leh,34.1,77.35,Rural,peak,903,2622,6416,241,762,1679,0,0,0,1,0.92,0,0.72,1
Leh,Leh,34.1,77.35,Rural,shoulder,701,3946,6117,191,430,1354,0,0,0,1,1.21,0,0.72,1
Leh,Leh,34.1,77.35,Rural,offpeak,921,1881,2374,161,454,685,0,0,0,1,0.93,0,0.72,1
Mawlynnong,East Khasi Hills,25.2,91.92,Rural,peak,1100,3256,4218,230,603,1586,0,0,0,1,0.97,1,0.71,1
Mawlynnong,East Khasi Hills,25.2,91.92,Rural,shoulder,1301,2948,6415,207,485,1080,0,0,0,1,0.9,1,0.71,1
Mawlynnong,East Khasi Hills,25.2,91.92,Rural,offpeak,598,2516,3409,101,610,984,0,0,0,1,0.9,1,0.72,1
Hodka Village,Kutch,23.73,70.0,Rural,peak,1055,2294,6661,120,823,1005,0,0,0,1,0.97,0,0.71,0
Hodka Village,Kutch,23.73,70.0,Rural,shoulder,742,2844,5136,263,674,1080,0,0,0,1,0.85,0,0.73,0
Hodka Village,Kutch,23.73,70.0,Rural,offpeak,1007,1174,4584,181,340,1345,0,0,0,1,0.96,0,0.72,0
Itanagar,Papum Pare,27.1,93.62,Tier-Z,peak,1425,5199,8430,192,848,1549,333,0,0,1,1.02,1,0.72,0
Itanagar,Papum Pare,27.1,93.62,Tier-Z,shoulder,1658,3657,9274,328,546,1516,376,0,0,1,1.15,1,0.72,0
Itanagar,Papum Pare,27.1,93.62,Tier-Z,offpeak,1333,3162,7167,141,584,1387,250,0,0,1,0.94,1,0.71,0
Shillong,East Khasi Hills,25.57,91.88,Tier-Z,peak,3030,6576,12447,347,1315,2097,455,0,0,1,0.96,0,0.72,0
Shillong,East Khasi Hills,25.57,91.88,Tier-Z,shoulder,1291,5174,11159,243,569,2288,262,0,0,1,0.86,0,0.72,0
Shillong,East Khasi Hills,25.57,91.88,Tier-Z,offpeak,1275,1920,2755,312,765,1067,316,0,0,1,0.91,0,0.72,0
Kohima,Kohima,25.67,94.11,Tier-Z,peak,1720,4432,13714,185,686,2521,302,0,0,1,1.06,1,0.73,0
Kohima,Kohima,25.67,94.11,Tier-Z,shoulder,1083,2150,7394,207,582,1591,302,0,0,1,1.09,1,0.71,0
Kohima,Kohima,25.67,94.11,Tier-Z,offpeak,951,2216,7063,280,720,1737,381,0,0,1,1.24,1,0.73,0
Imphal,Imphal West,24.81,93.95,Tier-Z,peak,1154,2453,7169,350,737,1720,296,0,0,1,1.0,1,0.72,0
Imphal,Imphal West,24.81,93.95,Tier-Z,shoulder,1591,3222,6157,206,664,2257,410,0,0,1,1.19,1,0.71,0
Imphal,Imphal West,24.81,93.95,Tier-Z,offpeak,914,2876,5410,334,421,1172,233,0,0,1,1.22,1,0.73,0
Aizawl,Aizawl,23.73,92.72,Tier-Z,peak,1597,5108,8408,174,1186,2555,341,0,0,1,1.23,1,0.72,0
Aizawl,Aizawl,23.73,92.72,Tier-Z,shoulder,1642,5477,9028,191,954,1520,218,0,0,1,0.85,1,0.71,0
Aizawl,Aizawl,23.73,92.72,Tier-Z,offpeak,1154,3455,5338,315,949,1115,360,0,0,1,1.1,1,0.72,0
Agartala,West Tripura,23.83,91.28,Tier-Z,peak,1858,2746,6155,183,925,1448,268,0,0,1,0.95,1,0.71,0
Agartala,West Tripura,23.83,91.28,Tier-Z,shoulder,1786,2337,7033,325,704,2238,293,0,0,1,0.99,1,0.72,0
Agartala,West Tripura,23.83,91.28,Tier-Z,offpeak,1353,1675,4874,241,744,1089,282,0,0,1,0.88,1,0.72,0
Gangtok,Gangtok,27.34,88.61,Tier-Z,peak,2478,3307,9651,326,726,1932,373,0,0,1,1.19,1,0.73,0
Gangtok,Gangtok,27.34,88.61,Tier-Z,shoulder,1416,4468,5818,201,981,2091,272,0,0,1,1.02,1,0.72,0
Gangtok,Gangtok,27.34,88.61,Tier-Z,offpeak,1227,2937,3773,224,793,1598,274,0,0,1,1.1,1,0.72,0
Port Blair,South Andaman,11.62,92.73,Tier-Z,peak,2024,6549,10672,243,781,2154,406,0,0,1,0.95,1,0.72,0
Port Blair,South Andaman,11.62,92.73,Tier-Z,shoulder,1768,4276,6409,238,677,1401,434,0,0,1,1.17,1,0.71,0
Port Blair,South Andaman,11.62,92.73,Tier-Z,offpeak,1163,2130,6020,152,812,1743,354,0,0,1,1.07,1,0.72,0
Daman,Daman,20.42,72.83,Tier-Z,peak,2543,4799,5942,368,1174,1741,294,0,0,1,1.04,1,0.71,0
Daman,Daman,20.42,72.83,Tier-Z,shoulder,1383,5085,8997,163,998,1639,392,0,0,1,0.86,1,0.71,0
Daman,Daman,20.42,72.83,Tier-Z,offpeak,1414,2803,6429,204,788,1299,229,0,0,1,0.97,1,0.72,0
Kavaratti,Lakshadweep,10.56,72.64,Rural,peak,801,2995,6564,156,790,1088,0,0,0,1,1.01,1,0.72,0
Kavaratti,Lakshadweep,10.56,72.64,Rural,shoulder,1262,3065,3621,126,799,1717,0,0,0,1,0.87,1,0.72,0
Kavaratti,Lakshadweep,10.56,72.64,Rural,offpeak,814,1447,4557,133,425,1136,0,0,0,1,1.02,1,0.72,0
Rameswaram,Ramanathapuram,9.28,79.31,Tier-Z,peak,1462,5070,9908,296,947,2158,399,0,0,1,0.9,1,0.73,0
Rameswaram,Ramanathapuram,9.28,79.31,Tier-Z,shoulder,1840,4984,7783,246,925,2305,349,0,0,1,1.01,1,0.73,0
Rameswaram,Ramanathapuram,9.28,79.31,Tier-Z,offpeak,895,1810,5282,194,468,1490,296,0,0,1,1.12,1,0.73,0
Kanyakumari,Kanyakumari,8.08,77.54,Tier-Z,peak,2007,6265,15360,369,993,2276,306,0,0,1,0.94,1,0.73,0
Kanyakumari,Kanyakumari,8.08,77.54,Tier-Z,shoulder,2230,2471,10006,203,1085,1723,434,0,0,1,1.19,1,0.72,0
Kanyakumari,Kanyakumari,8.08,77.54,Tier-Z,offpeak,912,3875,7284,215,609,1251,335,0,0,1,1.25,1,0.73,0
Ooty,Nilgiris,11.4,76.69,Tier-Z,peak,1981,5145,17917,401,996,1675,373,0,3663,1,1.06,1,0.71,1
Ooty,Nilgiris,11.4,76.69,Tier-Z,shoulder,1334,5577,8214,363,938,2198,424,0,0,1,1.2,1,0.73,1
Ooty,Nilgiris,11.4,76.69,Tier-Z,offpeak,1197,2536,4769,261,509,1482,200,0,1769,1,1.03,1,0.71,1
Kodaikanal,Dindigul,10.23,77.49,Tier-Z,peak,2487,6402,13343,334,1046,2283,360,0,0,1,1.16,0,0.73,0
Kodaikanal,Dindigul,10.23,77.49,Tier-Z,shoulder,1709,3073,12235,383,617,2305,435,0,0,1,1.03,0,0.73,0
Kodaikanal,Dindigul,10.23,77.49,Tier-Z,offpeak,824,1529,3302,222,620,1120,251,0,0,1,1.21,0,0.72,0
Dharmapuri,Dharmapuri,12.15,78.16,Rural,peak,948,2819,4562,116,724,1225,0,0,0,1,1.18,1,0.71,0
Dharmapuri,Dharmapuri,12.15,78.16,Rural,shoulder,699,2106,3699,112,571,913,0,0,0,1,1.17,1,0.72,0
Dharmapuri,Dharmapuri,12.15,78.16,Rural,offpeak,878,2300,4647,137,391,806,0,0,0,1,1.01,1,0.71,0
Sivaganga,Sivaganga,9.85,78.48,Rural,peak,581,1970,5167,234,605,1328,0,0,0,1,1.02,1,0.72,0
Sivaganga,Sivaganga,9.85,78.48,Rural,shoulder,1054,2675,5926,170,334,1426,0,0,0,1,1.24,1,0.71,0
Sivaganga,Sivaganga,9.85,78.48,Rural,offpeak,1001,1497,2637,187,302,942,0,0,0,1,1.04,1,0.72,0
Perambalur,Perambalur,11.23,78.89,Rural,peak,984,3442,5354,127,411,1642,0,0,0,1,1.16,1,0.73,0
Perambalur,Perambalur,11.23,78.89,Rural,shoulder,1101,2106,5078,245,490,933,0,0,0,1,0.91,1,0.73,0
Perambalur,Perambalur,11.23,78.89,Rural,offpeak,799,1728,4432,194,395,1076,0,0,0,1,1.19,1,0.71,0
Cuddalore,Cuddalore,11.75,79.77,Tier-Z,peak,1105,5744,5699,181,776,2231,334,0,0,1,0.95,1,0.72,0
Cuddalore,Cuddalore,11.75,79.77,Tier-Z,shoulder,1493,4227,5666,300,772,1740,252,0,0,1,0.94,1,0.72,0
Cuddalore,Cuddalore,11.75,79.77,Tier-Z,offpeak,856,2435,2778,169,695,1408,222,0,0,1,0.89,1,0.72,0
Nagapattinam,Nagapattinam,10.76,79.84,Tier-Z,peak,1635,4940,6583,359,952,1671,411,0,0,1,1.08,1,0.72,0
Nagapattinam,Nagapattinam,10.76,79.84,Tier-Z,shoulder,1366,2772,5813,171,725,1434,264,0,0,1,1.23,1,0.72,0
Nagapattinam,Nagapattinam,10.76,79.84,Tier-Z,offpeak,848,3365,4433,188,809,1213,244,0,0,1,1.18,1,0.73,0
Kumbakonam,Thanjavur,10.96,79.38,Tier-Z,peak,1212,4031,12475,216,963,1840,235,0,0,1,1.01,1,0.72,0
Kumbakonam,Thanjavur,10.96,79.38,Tier-Z,shoulder,1056,3111,4930,379,680,1771,404,0,0,1,0.91,1,0.72,0
Kumbakonam,Thanjavur,10.96,79.38,Tier-Z,offpeak,1099,1418,2922,252,901,936,195,0,0,1,1.06,1,0.73,0
Theni,Theni,10.0,77.48,Rural,peak,1037,2703,6204,168,650,1638,0,0,0,1,1.05,1,0.72,0
Theni,Theni,10.0,77.48,Rural,shoulder,1005,2317,4927,228,775,1796,0,0,0,1,1.11,1,0.73,0
Theni,Theni,10.0,77.48,Rural,offpeak,658,1621,2673,209,308,738,0,0,0,1,0.88,1,0.72,0
Delhi,New Delhi,28.61,77.23,Tier-X,peak,2563,5719,14876,420,1362,3229,392,0,4483,1,0.9,1,0.72,1
Delhi,New Delhi,28.61,77.23,Tier-X,shoulder,1937,7073,13194,324,1532,2740,428,0,4001,1,0.85,1,0.73,1
Delhi,New Delhi,28.61,77.23,Tier-X,offpeak,1473,2948,10297,425,738,2120,368,0,3900,1,1.23,1,0.72,1
Mumbai,Mumbai City,18.97,72.82,Tier-X,peak,2339,5414,18590,494,1875,3378,375,0,4071,1,0.88,1,0.71,1
Mumbai,Mumbai City,18.97,72.82,Tier-X,shoulder,1922,8860,16435,456,1484,2580,541,0,4753,1,1.12,1,0.72,1
Mumbai,Mumbai City,18.97,72.82,Tier-X,offpeak,1413,5528,7500,419,757,2023,321,0,4171,1,1.05,1,0.73,1
Bengaluru,Bengaluru Urban,12.98,77.59,Tier-X,peak,2858,9386,20239,592,1723,2722,660,0,6250,1,1.19,1,0.72,1
Bengaluru,Bengaluru Urban,12.98,77.59,Tier-X,shoulder,2117,7653,14008,507,1041,2847,525,0,5302,1,0.87,1,0.73,1
Bengaluru,Bengaluru Urban,12.98,77.59,Tier-X,offpeak,1522,4172,7280,359,1184,1790,380,0,3378,1,1.24,1,0.71,1
Kolkata,Kolkata,22.57,88.36,Tier-X,peak,2812,7280,15604,504,1042,3322,655,0,4536,1,0.9,1,0.72,1
Kolkata,Kolkata,22.57,88.36,Tier-X,shoulder,2059,6492,11977,381,1094,2338,649,0,4819,1,1.07,1,0.73,1
Kolkata,Kolkata,22.57,88.36,Tier-X,offpeak,1696,4535,10852,348,1367,1914,666,0,2786,1,1.08,1,0.72,1
Hyderabad,Hyderabad,17.36,78.47,Tier-X,peak,2241,8197,13973,381,1278,2467,335,0,4799,1,1.2,1,0.72,1
Hyderabad,Hyderabad,17.36,78.47,Tier-X,shoulder,2409,5119,18078,391,1084,2848,703,0,4316,1,1.05,1,0.71,1
Hyderabad,Hyderabad,17.36,78.47,Tier-X,offpeak,2177,4464,8112,396,878,2705,433,0,3912,1,0.92,1,0.73,1
Ahmedabad,Ahmedabad,23.01,72.34,Tier-X,peak,2188,7108,13642,354,1414,2451,513,0,3485,1,0.91,1,0.72,1
Ahmedabad,Ahmedabad,23.01,72.34,Tier-X,shoulder,1870,8044,10191,477,1502,2420,534,0,3893,1,0.94,1,0.72,1
Ahmedabad,Ahmedabad,23.01,72.34,Tier-X,offpeak,1926,6996,8630,475,1255,2249,307,0,2643,1,1.07,1,0.73,1
Pune,Pune,18.52,73.85,Tier-X,peak,2910,7155,12884,391,1735,3272,557,0,5710,1,0.97,1,0.73,1
Pune,Pune,18.52,73.85,Tier-X,shoulder,2085,9544,11624,390,1240,2710,574,0,4254,1,1.15,1,0.72,1
Pune,Pune,18.52,73.85,Tier-X,offpeak,1559,3934,10262,265,1182,2150,346,0,3580,1,0.96,1,0.72,1
Chennai,Chennai,13.09,80.27,Tier-X,peak,1755,5837,21550,411,954,3505,607,0,5821,1,1.18,1,0.71,1
Chennai,Chennai,13.09,80.27,Tier-X,shoulder,2285,6678,12967,374,1221,2559,459,0,3664,1,1.04,1,0.72,1
Chennai,Chennai,13.09,80.27,Tier-X,offpeak,1547,7279,11350,374,1234,2250,439,0,2937,1,0.97,1,0.72,1
Jaipur,Jaipur,26.92,75.82,Tier-Y,peak,2543,7489,7547,433,1105,3044,454,0,4183,1,0.95,1,0.71,1
Jaipur,Jaipur,26.92,75.82,Tier-Y,shoulder,1863,3569,10553,381,1331,2367,247,0,2397,1,1.08,1,0.71,1
Jaipur,Jaipur,26.92,75.82,Tier-Y,offpeak,1687,3199,7260,365,900,1606,359,0,2121,1,1.11,1,0.72,1
Agra,Agra,27.11,78.02,Tier-Y,peak,2438,7005,16398,302,1284,2406,557,0,4358,1,1.18,1,0.73,1
Agra,Agra,27.11,78.02,Tier-Y,shoulder,1716,6723,8891,432,1084,2223,422,0,2854,1,1.19,1,0.72,1
Agra,Agra,27.11,78.02,Tier-Y,offpeak,1283,3918,4959,242,749,1661,291,0,3541,1,1.19,1,0.72,1
Amritsar,Amritsar,31.64,74.86,Tier-Y,peak,2186,7453,10952,403,1489,1768,420,0,2940,1,1.21,1,0.72,1
Amritsar,Amritsar,31.64,74.86,Tier-Y,shoulder,1953,6333,8598,273,1119,2783,319,0,3729,1,1.1,1,0.71,1
Amritsar,Amritsar,31.64,74.86,Tier-Y,offpeak,946,3173,3896,243,800,1567,381,0,1815,1,0.94,1,0.72,1
Varanasi,Varanasi,25.33,83.01,Tier-Y,peak,2503,4909,12503,490,1415,2367,407,0,5335,1,1.02,1,0.72,1
Varanasi,Varanasi,25.33,83.01,Tier-Y,shoulder,1305,4660,9291,393,1138,2077,297,0,2427,1,1.01,1,0.72,1
Varanasi,Varanasi,25.33,83.01,Tier-Y,offpeak,1256,2444,6424,318,705,1839,448,0,2999,1,0.9,1,0.72,1
Kochi,Ernakulam,9.96,76.25,Tier-Y,peak,2261,5628,12483,437,995,2136,350,0,4365,1,1.07,1,0.72,1
Kochi,Ernakulam,9.96,76.25,Tier-Y,shoulder,1652,3668,13603,459,833,2290,517,0,2752,1,1.22,1,0.72,1
Kochi,Ernakulam,9.96,76.25,Tier-Y,offpeak,1392,2694,5230,282,652,1327,440,0,3035,1,0.9,1,0.72,1
Mysore,Mysore,12.31,76.65,Tier-Y,peak,1745,5826,12118,512,974,2943,268,0,4636,1,0.86,1,0.72,1
Mysore,Mysore,12.31,76.65,Tier-Y,shoulder,1572,3023,9700,268,1333,2131,496,0,3365,1,1.05,1,0.72,1
Mysore,Mysore,12.31,76.65,Tier-Y,offpeak,1235,3271,3983,315,848,1709,359,0,2254,1,0.94,1,0.72,1
Bhopal,Bhopal,23.25,77.41,Tier-Y,peak,1464,5114,7217,255,1199,2114,327,0,4364,1,1.12,1,0.72,1
Bhopal,Bhopal,23.25,77.41,Tier-Y,shoulder,1501,5116,8792,299,1068,2890,373,0,3942,1,0.86,1,0.72,1
Bhopal,Bhopal,23.25,77.41,Tier-Y,offpeak,993,2395,6710,243,1011,1745,373,0,1823,1,0.95,1,0.72,1
Bhubaneswar,Khordha,20.27,85.84,Tier-Y,peak,2377,5187,7584,258,1267,1977,435,0,5185,1,1.18,1,0.73,1
Bhubaneswar,Khordha,20.27,85.84,Tier-Y,shoulder,1953,4802,9897,225,1020,2037,491,0,3950,1,0.93,1,0.72,1
Bhubaneswar,Khordha,20.27,85.84,Tier-Y,offpeak,988,2629,6010,255,835,1821,516,0,2257,1,1.07,1,0.72,1
Dehradun,Dehradun,30.345,78.029,Tier-Y,peak,2141,6420,12954,520,1395,2189,593,0,4338,1,1.1,1,0.73,1
Dehradun,Dehradun,30.345,78.029,Tier-Y,shoulder,1446,5253,13916,310,1171,2480,332,0,4025,1,1.21,1,0.73,1
Dehradun,Dehradun,30.345,78.029,Tier-Y,offpeak,1347,2367,2440,188,579,1663,480,0,3054,1,1.1,1,0.72,1
Erode,Erode,11.34,77.72,Tier-Y,peak,1372,3637,11424,306,1006,1960,523,0,3786,1,1.08,1,0.71,1
Erode,Erode,11.34,77.72,Tier-Y,shoulder,1395,6174,11141,301,681,2418,445,0,2505,1,0.93,1,0.73,1
Erode,Erode,11.34,77.72,Tier-Y,offpeak,1308,3944,6970,310,529,1775,476,0,2641,1,1.11,1,0.71,1
Faridabad,Faridabad,28.4,77.31,Tier-Y,peak,1531,3869,9695,337,1110,1839,418,0,4428,1,1.1,1,0.72,1
Faridabad,Faridabad,28.4,77.31,Tier-Y,shoulder,1054,3694,7056,293,1274,2682,526,0,2935,1,1.11,1,0.72,1
Faridabad,Faridabad,28.4,77.31,Tier-Y,offpeak,968,2499,7259,227,722,2004,520,0,1832,1,0.88,1,0.71,1
Patna,Patna,25.59,85.13,Tier-Y,peak,1419,3838,8436,366,769,2061,364,0,4088,1,1.08,1,0.73,1
Patna,Patna,25.59,85.13,Tier-Y,shoulder,1882,3221,10545,249,709,2328,402,0,3930,1,1.02,1,0.73,1
Patna,Patna,25.59,85.13,Tier-Y,offpeak,1299,2764,6314,338,1009,1674,373,0,2848,1,0.98,1,0.72,1
Puducherry,Puducherry,11.94,79.81,Tier-Y,peak,2836,3712,14349,374,1482,2894,349,0,4479,1,1.03,1,0.71,1
Puducherry,Puducherry,11.94,79.81,Tier-Y,shoulder,1353,6015,12132,396,781,1833,539,0,2612,1,1.23,1,0.73,1
Puducherry,Puducherry,11.94,79.81,Tier-Y,offpeak,1348,2866,6518,192,539,1561,297,0,2207,1,1.02,1,0.71,1
Rajkot,Rajkot,22.3,70.79,Tier-Y,peak,1644,5751,8375,406,1324,2316,358,0,3274,1,0.87,1,0.71,1
Rajkot,Rajkot,22.3,70.79,Tier-Y,shoulder,1745,5677,6152,267,1189,2026,432,0,3607,1,0.98,1,0.73,1
Rajkot,Rajkot,22.3,70.79,Tier-Y,offpeak,1347,3789,8854,283,861,1990,504,0,3302,1,0.9,1,0.71,1
Thiruvananthapuram,Thiruvananthapuram,8.52,76.94,Tier-Y,peak,2507,3134,10531,288,959,1883,506,0,0,1,1.12,1,0.72,0
Thiruvananthapuram,Thiruvananthapuram,8.52,76.94,Tier-Y,shoulder,1910,4074,9191,392,1228,2012,487,0,0,1,0.86,1,0.71,0
Thiruvananthapuram,Thiruvananthapuram,8.52,76.94,Tier-Y,offpeak,834,3905,4873,282,771,1411,430,0,0,1,0.96,1,0.73,0
Tiruchirappalli,Tiruchirappalli,10.79,78.7,Tier-Y,peak,2481,5714,10284,425,1149,2005,293,0,0,1,0.96,1,0.73,0
Tiruchirappalli,Tiruchirappalli,10.79,78.7,Tier-Y,shoulder,1636,4509,9446,282,935,1998,393,0,0,1,1.1,1,0.72,0
Tiruchirappalli,Tiruchirappalli,10.79,78.7,Tier-Y,offpeak,898,1669,5142,260,789,1387,291,0,0,1,1.08,1,0.73,0
Tirunelveli,Tirunelveli,8.71,77.75,Tier-Y,peak,2052,6184,13004,328,1082,1813,574,0,2962,1,1.01,1,0.71,1
Tirunelveli,Tirunelveli,8.71,77.75,Tier-Y,shoulder,1818,4927,8844,237,650,1850,345,0,2850,1,1.08,1,0.72,1
Tirunelveli,Tirunelveli,8.71,77.75,Tier-Y,offpeak,1177,2031,4448,206,611,1509,296,0,2186,1,0.9,1,0.71,1
Vadodara,Vadodara,22.3,73.19,Tier-Y,peak,1526,3579,8644,435,966,2249,563,0,4393,1,0.95,1,0.72,1
Vadodara,Vadodara,22.3,73.19,Tier-Y,shoulder,1724,5035,9420,372,1233,2403,493,0,4048,1,1.19,1,0.73,1
Vadodara,Vadodara,22.3,73.19,Tier-Y,offpeak,1743,2595,6651,268,608,1846,519,0,3004,1,1.17,1,0.72,1
Visakhapatnam,Visakhapatnam,17.68,83.28,Tier-Y,peak,2152,4166,10621,338,928,1998,401,0,3157,1,1.05,1,0.73,1
Visakhapatnam,Visakhapatnam,17.68,83.28,Tier-Y,shoulder,2016,5185,8206,312,631,2701,492,0,2903,1,1.21,1,0.72,1
Visakhapatnam,Visakhapatnam,17.68,83.28,Tier-Y,offpeak,1406,3338,6388,267,722,1603,428,0,2078,1,1.0,1,0.72,1
Guwahati,Kamrup Metropolitan,26.1,91.74,Tier-Y,peak,1305,3012,8054,240,962,2152,456,0,2740,1,1.24,1,0.72,1
Guwahati,Kamrup Metropolitan,26.1,91.74,Tier-Y,shoulder,1623,4359,7534,283,1199,2220,419,0,3735,1,0.93,1,0.72,1
Guwahati,Kamrup Metropolitan,26.1,91.74,Tier-Y,offpeak,1265,1951,6038,306,1097,1721,334,0,1797,1,1.03,1,0.73,1
Panaji,North Goa,15.5,73.83,Tier-Y,peak,1961,4467,10046,523,1369,2076,458,0,4204,1,1.17,1,0.72,1
Panaji,North Goa,15.5,73.83,Tier-Y,shoulder,1411,3280,9947,365,1102,2915,393,0,4484,1,1.0,1,0.71,1
Panaji,North Goa,15.5,73.83,Tier-Y,offpeak,1112,3151,6849,284,1100,2213,372,0,1981,1,1.06,1,0.72,1
Raipur,Raipur,21.25,81.63,Tier-Y,peak,1556,5712,12737,256,1272,1821,353,0,3461,1,1.22,1,0.72,1
Raipur,Raipur,21.25,81.63,Tier-Y,shoulder,1670,4869,10320,325,993,1576,545,0,3772,1,1.18,1,0.72,1
Raipur,Raipur,21.25,81.63,Tier-Y,offpeak,1007,2668,5193,283,921,1742,371,0,3013,1,1.09,1,0.73,1
Ranchi,Ranchi,23.34,85.3,Tier-Y,peak,1791,4244,10634,242,1394,2275,488,0,5026,1,1.16,1,0.73,1
Ranchi,Ranchi,23.34,85.3,Tier-Y,shoulder,2485,5940,8952,365,702,2261,497,0,2177,1,1.09,1,0.72,1
Ranchi,Ranchi,23.34,85.3,Tier-Y,offpeak,1594,4123,5629,300,574,1819,475,0,2567,1,1.05,1,0.72,1
Udaipur,Udaipur,24.57,73.69,Tier-Y,peak,3177,3959,8142,281,789,2848,511,0,5459,1,1.03,1,0.72,1
Udaipur,Udaipur,24.57,73.69,Tier-Y,shoulder,2799,4690,12910,345,1222,2186,410,0,5239,1,0.98,1,0.72,1
Udaipur,Udaipur,24.57,73.69,Tier-Y,offpeak,1160,3438,6994,231,623,1935,278,0,1903,1,1.06,1,0.72,1
Jamshedpur,East Singhbhum,22.81,86.2,Tier-Y,peak,1658,3620,7854,266,994,2068,429,0,2678,1,0.88,1,0.72,1
Jamshedpur,East Singhbhum,22.81,86.2,Tier-Y,shoulder,1256,4236,7366,346,771,1951,372,0,4154,1,0.89,1,0.72,1
